seq1	seq2
7dx1_A	7dx1_C
7dx1_A	7cak_A
7dx1_A	7ddd_A
7dx1_A	7ddd_C
7dx1_A	7k8u_A
7dx1_A	7jwy_A
7dx1_A	7jwy_C
7dx1_A	7k8x_A
7dx1_A	7l58_A
7dx1_A	6zp2_A
7dx1_A	6zp2_C
7dx1_A	7dzw_A
7dx1_A	7dzw_C
7dx1_A	6z97_A
7dx1_A	6z97_C
7dx1_A	6zox_A
7dx1_A	6zox_C
7dx1_A	7d00_A
7dx1_A	7kj2_A
7dx1_A	7ad1_A
7dx1_A	7ad1_C
7dx1_A	7a5r_C
7dx1_A	7jw0_A
7dx1_A	7k90_A
7dx1_A	7l06_A
7dx1_A	7cwo_A
7dx1_A	7kdi_A
7dx1_A	7kdi_C
7dx1_A	7e7b_A
7dx1_A	7e7b_C
7dx1_A	6zp1_A
7dx1_A	6zp1_C
7dx1_A	7bno_A
7dx1_A	7bno_C
7dx1_A	7mjj_A
7dx1_A	7dx3_C
7dx1_A	7e7d_A
7dx1_A	7e7d_C
7dx1_A	7nt9_A
7dx1_A	7nt9_C
7dx1_A	7kxk_A
7dx1_A	7krs_A
7dx1_A	7krs_C
7dx1_A	6zow_D
7dx1_A	7lwi_A
7dx1_A	7lwi_C
7dx1_A	6xs6_A
7dx1_A	6xs6_C
7dx1_A	6zoy_A
7dx1_A	6zoy_C
7dx1_A	6x2a_A
7dx1_A	6x2a_C
7dx1_A	7lyk_A
7dx1_A	7lyk_C
7dx1_A	7mkl_A
7dx1_A	7a94_A
7dx1_A	6zb5_A
7dx1_A	6zb5_C
7dx1_A	7kec_A
7dx1_A	7kec_C
7dx1_A	7m71_A
7dx1_A	7akd_A
7dx1_A	7byr_A
7dx1_A	7e8c_A
7dx1_A	7cac_A
7dx1_A	6vyb_A
7dx1_A	6vyb_C
7dx1_A	7kdj_A
7dx1_A	7kdj_C
7dx1_A	7a93_C
7dx1_A	7jji_A
7dx1_A	7jji_C
7dx1_A	7kj5_C
7dx1_A	7mjk_I
7dx1_A	7chh_A
7dx1_A	7m0j_A
7dx1_A	7m0j_C
7dx1_A	7laa_A
7dx1_A	7laa_E
7dx1_A	7cn9_A
7dx1_A	7cn9_C
7dx1_A	7lwv_A
7dx1_A	7lwv_C
7dx1_A	7ld1_A
7dx1_A	6x79_A
7dx1_A	6x79_C
7dx1_A	7cws_M
7dx1_A	7cws_O
7dx1_A	6x6p_A
7dx1_A	6x6p_C
7dx1_A	7kdh_A
7dx1_A	7kdh_C
7dx1_A	7lww_A
7dx1_A	7lww_C
7dx1_A	6xf6_A
7dx1_A	6xf6_C
7dx1_A	6zwv_A
7dx1_A	6zwv_C
7dx1_A	6xkl_C
7dx1_A	6xra_A
7dx1_A	6xra_C
7dx1_A	7m8k_A
7dx1_A	7m8k_C
7dx1_A	7cab_A
7dx1_A	7cab_C
7dx1_A	7l3n_A
7dx1_A	6vxx_C
7dx1_A	7kmb_B
7dx1_A	7jwb_D
7dx1_A	7lx5_A
7dx1_A	7l7k_A
